raceId,year,round,date,race_name,constructorId,constructorRef,team,team_points,best_finish,win,podium,best_grid_position,pole_position
1057,2021,6,2021-06-06,Azerbaijan Grand Prix,131,mercedes,Mercedes,0.0,12,0,0,2,0
1057,2021,6,2021-06-06,Azerbaijan Grand Prix,9,red_bull,Red Bull,25.0,1,1,1,3,0
1057,2021,6,2021-06-06,Azerbaijan Grand Prix,3,williams,Williams,0.0,16,0,0,15,0
1059,2021,7,2021-06-20,French Grand Prix,51,alfa,Alfa Romeo,0.0,15,0,0,13,0
1059,2021,7,2021-06-20,French Grand Prix,213,alphatauri,AlphaTauri,6.0,7,0,0,6,0
1059,2021,7,2021-06-20,French Grand Prix,214,alpine,Alpine F1 Team,4.0,8,0,0,9,0
1059,2021,7,2021-06-20,French Grand Prix,117,aston_martin,Aston Martin,3.0,9,0,0,12,0
1059,2021,7,2021-06-20,French Grand Prix,6,ferrari,Ferrari,0.0,11,0,0,5,0
1059,2021,7,2021-06-20,French Grand Prix,210,haas,Haas F1 Team,0.0,19,0,0,15,0
1059,2021,7,2021-06-20,French Grand Prix,1,mclaren,McLaren,18.0,5,0,0,8,0
1059,2021,7,2021-06-20,French Grand Prix,131,mercedes,Mercedes,30.0,2,0,1,2,0
1059,2021,7,2021-06-20,French Grand Prix,9,red_bull,Red Bull,41.0,1,1,1,1,1
1059,2021,7,2021-06-20,French Grand Prix,3,williams,Williams,0.0,12,0,0,14,0
1058,2021,8,2021-06-27,Styrian Grand Prix,51,alfa,Alfa Romeo,0.0,11,0,0,15,0
1058,2021,8,2021-06-27,Styrian Grand Prix,213,alphatauri,AlphaTauri,1.0,10,0,0,6,0
1058,2021,8,2021-06-27,Styrian Grand Prix,214,alpine,Alpine F1 Team,2.0,9,0,0,9,0
1058,2021,8,2021-06-27,Styrian Grand Prix,117,aston_martin,Aston Martin,4.0,8,0,0,10,0
1058,2021,8,2021-06-27,Styrian Grand Prix,6,ferrari,Ferrari,14.0,6,0,0,7,0
1058,2021,8,2021-06-27,Styrian Grand Prix,210,haas,Haas F1 Team,0.0,16,0,0,19,0
1058,2021,8,2021-06-27,Styrian Grand Prix,1,mclaren,McLaren,10.0,5,0,0,4,0
1058,2021,8,2021-06-27,Styrian Grand Prix,131,mercedes,Mercedes,34.0,2,0,1,2,0
1058,2021,8,2021-06-27,Styrian Grand Prix,9,red_bull,Red Bull,37.0,1,1,1,1,1
1058,2021,8,2021-06-27,Styrian Grand Prix,3,williams,Williams,0.0,17,0,0,11,0
1060,2021,9,2021-07-04,Austrian Grand Prix,51,alfa,Alfa Romeo,0.0,14,0,0,15,0
1060,2021,9,2021-07-04,Austrian Grand Prix,213,alphatauri,AlphaTauri,2.0,9,0,0,6,0
1060,2021,9,2021-07-04,Austrian Grand Prix,214,alpine,Alpine F1 Team,1.0,10,0,0,14,0
1060,2021,9,2021-07-04,Austrian Grand Prix,117,aston_martin,Aston Martin,0.0,13,0,0,8,0
1060,2021,9,2021-07-04,Austrian Grand Prix,6,ferrari,Ferrari,14.0,5,0,0,11,0
1060,2021,9,2021-07-04,Austrian Grand Prix,210,haas,Haas F1 Team,0.0,18,0,0,19,0
1060,2021,9,2021-07-04,Austrian Grand Prix,1,mclaren,McLaren,21.0,3,0,1,2,0
1060,2021,9,2021-07-04,Austrian Grand Prix,131,mercedes,Mercedes,30.0,2,0,1,4,0
1060,2021,9,2021-07-04,Austrian Grand Prix,9,red_bull,Red Bull,34.0,1,1,1,1,1
1060,2021,9,2021-07-04,Austrian Grand Prix,3,williams,Williams,0.0,11,0,0,9,0
1061,2021,10,2021-07-18,British Grand Prix,51,alfa,Alfa Romeo,0.0,13,0,0,14,0
1061,2021,10,2021-07-18,British Grand Prix,213,alphatauri,AlphaTauri,1.0,10,0,0,12,0
1061,2021,10,2021-07-18,British Grand Prix,214,alpine,Alpine F1 Team,8.0,7,0,0,11,0
