,count,mean,std,min,25%,50%,75%,max
stock_return_t1,778.0,0.0007205328920481223,0.022116260496709034,-0.1346077811620597,-0.009446818120568475,0.0007770518965287501,0.01163988044047575,0.1185880653834512
abnormal_return_t1,778.0,-0.00019457866655504233,0.01971061016004394,-0.1453998168114692,-0.0088896219773315,0.00010033793869375016,0.0094395331700181,0.1255103453203127
market_return_t1,778.0,0.0009151115586031642,0.009518112429266309,-0.0387684306652372,-0.00306517189499,0.0008877879113036,0.0051644274245326,0.0258838949525761
vix_level_t1,778.0,19.28606682142439,5.9474009748369525,12.149999618530272,15.087499856948854,17.5600004196167,21.979999542236328,46.97999954223633
team_points,778.0,20.036632390745503,13.274292026283453,0.0,10.0,18.0,29.75,58.0
best_finish,778.0,4.656812339331619,3.787361101275702,1.0,2.0,4.0,6.0,19.0
win,778.0,0.19023136246786632,0.39273610127440023,0.0,0.0,0.0,0.0,1.0
podium,778.0,0.4922879177377892,0.500262128851434,0.0,0.0,0.0,1.0,1.0
best_grid_position,778.0,4.584832904884319,3.651290039877998,1.0,2.0,4.0,6.0,19.0
pole_position,778.0,0.21079691516709512,0.4081368438222588,0.0,0.0,0.0,0.0,1.0
